Sci_name,Family,avg_Temp,lower_temp,higher_temp,pH,lower_pH,higher_pH,dH,lower_dH,higher_dH,Size,Breeding
Acanthophthalmus kuhli,Loach,78.0,70.0,86.0,6.0,5.5,6.5,8.5,5.0,12.0,4,Difficult
Ancistrinae sp L200,Pleco,75.0,72.0,78.0,6.9,6.0,7.8,7.5,5.0,10.0,6,Difficult
Ancistrus dolichopterus L183,Pleco,77.5,73.0,82.0,6.3,5.6,7.0,11.0,2.0,20.0,5,Difficult
Balantiocheilos melanopterus,Cyprinid,77.0,72.0,82.0,7.0,6.8,7.2,13.0,6.0,20.0,7,Difficult
Barbus conchonius,Cyprinid,69.0,64.0,74.0,7.0,6.0,8.0,11.0,2.0,20.0,4,Normal
Barbus schwanefeldi,Cyprinid,74.5,72.0,77.0,6.75,6.5,7.0,15.0,10.0,20.0,14,Difficult
Barbus tetrazona,Cyprinid,76.5,68.0,85.0,7.0,6.0,8.0,8.5,2.0,15.0,3,Normal
Botia macracanthus,Loach,81.5,77.0,86.0,6.5,5.0,8.0,8.5,5.0,12.0,12,Difficult
Carassius auratus,Cyprinid,66.0,32.0,100.0,7.25,7.0,7.5,12.0,4.0,20.0,12,Easy
Crossocheilus siamensis,Cyprinid,77.0,75.0,79.0,6.75,5.5,8.0,11.0,2.0,20.0,6,Difficult
Danio rerio,Cyprinid,73.0,64.0,82.0,6.75,6.5,7.0,11.0,2.0,20.0,2.5,Easy
Epalzeorhynchos bicolor,Cyprinid,76.0,72.0,80.0,7.25,7.0,7.5,13.0,1.0,25.0,5,Difficult
Epalzeorhynchos frenatum,Cyprinid,73.0,68.0,78.0,7.0,6.0,8.0,9.0,6.0,12.0,6,Difficult
Epalzeorhynchos kalopterus,Cyprinid,77.0,75.0,79.0,6.75,6.5,7.0,6.0,2.0,10.0,4,Difficult
Fundulopanchax gardneri,Cyprinid,74.5,72.0,77.0,6.5,6.0,7.0,6.5,5.0,8.0,2.5,Easy
Gyrinocheilus aymonieri,Cyprinid,77.0,72.0,82.0,7.0,6.0,8.0,14.5,4.0,25.0,4,Difficult
Hypancistrus sp,Pleco,79.5,75.0,84.0,6.75,6.0,7.5,11.0,2.0,20.0,4,Difficult
Hypancistrus sp. L066,Pleco,82.0,80.0,84.0,7.0,6.5,7.5,17.5,5.0,30.0,5,Difficult
Hypancistrus sp. L260,Pleco,82.0,78.0,86.0,7.0,6.4,7.6,11.0,2.0,20.0,4,Difficult
Hypancistrus zebra L046,Pleco,82.5,79.0,86.0,6.3,5.6,7.0,11.0,2.0,20.0,1,Normal
Hypostomus punctatus,Pleco,74.0,66.0,82.0,6.75,6.0,7.5,15.0,0.0,30.0,20,Difficult
Melanotaenia boesemani,Rainbow,83.5,81.0,86.0,7.5,7.0,8.0,12.0,4.0,20.0,3.5,Normal
Melanotaenia praecox,Rainbow,77.0,72.0,82.0,6.4,5.8,7.0,8.5,5.0,12.0,2,Difficult
Myxocyprinus asiaticus,Cyprinid,70.5,59.0,82.0,7.0,6.5,7.5,12.0,4.0,20.0,24,Difficult
Panaque sp L204,Pleco,79.5,75.0,84.0,6.75,6.0,7.5,11.0,2.0,20.0,5,Difficult
Pangasius hypophthalmus,Cyprinid,75.5,72.0,79.0,7.0,6.5,7.5,15.5,2.0,29.0,50,Difficult
Parancistrus sp. L30,Pleco,76.0,73.0,79.0,7.0,6.4,7.6,6.0,4.0,8.0,6,Difficult
Poecilia endlers,Poeciliid,78.0,74.0,82.0,7.5,7.0,8.0,11.0,3.0,19.0,1,Easy
Poecilia reticulata,Poeciliid,76.5,74.0,79.0,7.5,7.0,8.0,8.0,4.0,12.0,2,Easy
Poecilia sp,Poeciliid,79.5,75.0,84.0,7.85,7.5,8.2,17.5,10.0,25.0,3,Easy
Pseudacanthicus leopardus L114,Pleco,78.5,75.0,82.0,6.3,5.6,7.0,12.5,5.0,20.0,10,Difficult
Puntius titteya,Cyprinid,77.0,73.0,81.0,7.0,6.0,8.0,12.5,5.0,20.0,2,Normal
Scobinancistrus aureatus L014,Pleco,79.5,75.0,84.0,6.3,5.6,7.0,11.0,2.0,20.0,10,Difficult
Tanichthys albonubes,Cyprinid,65.0,55.0,75.0,7.0,6.0,8.0,11.5,5.0,18.0,1.5,Easy
Trigonostigma heteromorpha,Cyprinid,74.5,72.0,77.0,6.4,6.0,6.8,6.5,3.0,10.0,2,Difficult
Xiphophorus hellerii,Poeciliid,75.5,70.0,81.0,7.5,7.0,8.0,14.0,9.0,19.0,5,Easy
Xiphophorus Maculatus,Poeciliid,70.5,64.0,77.0,7.5,7.0,8.0,17.5,10.0,25.0,2.5,Easy
